text,label
"Phishing email received claiming to be from bank asking for account details",1
"Malware detected on employee workstation",1
"SQL Injection attempt identified on login page",1
"Ransomware attack reported in the finance department",1
"Social engineering scam targeting employees with fake IT support requests",1
"DDoS attack detected affecting server performance",1
"Zero-day exploit vulnerability discovered in application",1
"Routine system update completed successfully",0
"Reminder: Monthly team meeting scheduled",0
"Successful login from authorized device",0
"Employee request for hardware upgrade approved",0
"System performance optimization completed",0
"New software update available for installation",0
"Standard update on IT support tickets",0
"Network security policies revised and applied",0
"Routine health check of server hardware",0
"Data encryption process completed",0
"Scheduled maintenance for database system",0
"Standard report on cybersecurity training for staff",0
"Routine backup of system files completed",0
"Successful antivirus definitions update",0
"Employee password reset request processed",0
"New user account creation notification",0
"System log showing normal activity",0
"Security audit report for the quarter",0
"Update: Security patch applied to all systems",0
"Routine check of firewall logs",0
"Social engineering scam report from the marketing department",1
"Unusual login activity from unknown IP address",1
"Phishing link detected in incoming email",1
"Alert: Malware detected in file transfer",1
"SQL Injection vulnerability found in web application",1
"DDoS attack mitigation in progress",1
"Ransomware warning received from external source",1
"Zero-day exploit identified in new software update",1
"Employee training session on phishing attacks completed",0
"Update on new IT support policies",0
"Successful completion of system health checks",0
"Security policy revision document updated",0
"Phishing email pretending to be from IT support requesting credentials",1
"Malware infection detected in recent download",1
"SQL Injection attack observed in user input fields",1
"Ransomware encrypted files on multiple systems",1
"Social engineering scam involving fake CEO emails",1
"DDoS attack causing service outage",1
"Zero-day exploit used in recent security breach",1
"Routine software patch applied to improve performance",0
"Reminder: Quarterly financial review meeting",0
"Authorized access to server logs",0
"Employee benefit enrollment confirmation",0
"System performance report indicating normal operation",0
"Scheduled upgrade for network infrastructure",0
"Update: Antivirus software database refreshed",0
"Standard employee onboarding process",0
"Routine system monitoring shows no issues",0
"Internal memo about upcoming team-building event",0
"System health report indicates all systems are operational",0
"New IT policies document circulated",0
"Database maintenance completed without issues",0
"Employee request for software installation approved",0
"Security training session attendance report",0
"Social engineering scam targeting senior management with fake investment opportunities",1
"Malware detected in email attachment and quarantined",1
"SQL Injection vulnerability fixed in web application code",1
"DDoS attack mitigated by traffic filtering",1
"Ransomware alert with instructions for recovery",1
"Phishing attempt detected in spam filter",1
"Zero-day exploit discovered in third-party plugin",1
"Social engineering scam involving fake job offers",1
"Successful mitigation of DDoS attack through cloud services",1
"Phishing email with malicious link blocked by security gateway",1
"Malware signature update for antivirus software applied",1
"Zero-day exploit patched in latest software update",1
"SQL Injection attack detected and neutralized",1
"Ransomware attack successfully contained and recovered",1
"Social engineering phishing scheme reported by multiple employees",1
"Routine update of system security policies completed",0
"Monthly report on system uptime and performance",0
"New hardware installation and configuration completed",0
"Security compliance audit conducted with no issues",0
"Employee password change notification",0
"Update on IT department staffing changes",0
"Routine data backup and recovery test completed",0
"System log review indicates no suspicious activity",0
"Employee access request for new software approved",0
"Routine security patch deployment scheduled",0
"Phishing message pretending to be from HR asking for personal information",1
"Malware detected in a downloaded PDF file",1
"SQL Injection vulnerability exploited in the login system",1
"Ransomware encrypted critical company files",1
"Social engineering attack involving fake tech support calls",1
"DDoS attack causing website downtime",1
"Zero-day exploit used to breach sensitive data",1
"System performance report showing normal metrics",0
"Monthly team meeting agenda and notes",0
"Scheduled software update for improved security",0
"Routine email about upcoming office event",0
"Employee request for leave approval",0
"System configuration change notification",0
"Standard system health check results",0
"Network performance optimization completed",0
"Routine IT maintenance window scheduled",0
"Data encryption status report",0
"Successful completion of server migration",0
"Update on IT project deadlines",0
"System log review indicating no issues",0
"Phishing email claiming to be from a trusted partner requesting credentials",1
"Malware detected in a suspicious email attachment",1
"SQL Injection attack observed on the customer portal",1
"DDoS attack detected and mitigated by cloud service",1
"Ransomware alert with recovery instructions sent to IT team",1
"Zero-day exploit reported in recent security advisory",1
"Social engineering scam involving fake job interview requests",1
"Phishing attempt blocked by email security filters",1
"Malware infection in newly installed software",1
"SQL Injection vulnerability discovered in backend API",1
"DDoS attack caused network congestion and slowdowns",1
"Ransomware encryption detected on shared drives",1
"Zero-day exploit patched in emergency update",1
"Social engineering attack with fake email from CEO asking for financial details",1
"Routine data integrity check completed successfully",0
"Monthly IT support ticket summary report",0
"New system feature announcement for internal use",0
"Update on recent IT policy changes",0
